,Stock Ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Forward Dividend,Forward Yeild,Ex-Dividend Date,Dividend_yield
430,CLX,149.7,149.67,149.03 x 1000,148.94 x 900,148.69 - 149.70,143.58 - 167.70,845046.0,845025817.0,18.745,0.57,23.59,6.32,4.24,2.83,2019-07-30,0.028323313293253178
432,HSY,153.07,152.86,153.50 x 800,153.75 x 1200,152.53 - 153.92,99.15 - 162.20,616671.0,616141637.0,32.259,0.02,26.57,5.78,3.09,2.02,2019-08-22,0.020186842621023063
433,MOS,19.55,19.71,19.42 x 1200,19.53 x 1800,19.45 - 20.01,17.36 - 37.37,3002.0,3108368.0,7.478,1.89,29.46,0.66,0.2,1.02,2019-12-04,0.010230179028132993
434,TRV,141.36,141.99,141.81 x 1100,141.83 x 900,141.41 - 142.22,111.08 - 155.09,1505.0,1220293.0,37.183,0.81,14.17,10.02,3.28,2.32,2019-09-09,0.023203169213355967
435,DIS,130.89,131.44,130.00 x 1000,130.30 x 800,130.02 - 131.73,100.35 - 147.15,6094.0,6326726.0,234.648,0.72,16.77,7.77,1.76,1.34,2019-07-05,0.013446405378562154
436,TMO,281.42,284.56,283.55 x 800,283.11 x 900,281.56 - 284.56,208.34 - 305.45,1014.0,1523967.0,113.48200000000001,1.14,32.38,8.76,0.76,0.27,2019-09-16,0.002700589865681188
437,TIF,88.49,89.25,89.64 x 900,89.66 x 900,89.02 - 90.04,73.04 - 117.93,858998.0,858912139.0,10.455,1.47,19.51,4.59,2.32,2.62,2019-09-19,0.02621765171205786
439,TJX,60.36,60.69,59.62 x 1800,60.72 x 2200,59.30 - 60.84,41.49 - 60.89,5966.0,5858007.0,72.271,0.84,24.24,2.47,0.92,1.52,2019-08-14,0.015241882041086813
441,TSCO,93.32,93.99,91.50 x 800,92.37 x 1000,92.21 - 93.99,78.67 - 114.25,1344.0,1447670.0,11.04,1.09,20.6,4.49,1.32,1.42,2019-08-23,0.014144877839691386
446,TSN,82.42,81.66,80.90 x 900,80.97 x 800,80.79 - 82.05,49.77 - 94.07,1802.0,1590398.0,29.91,0.43,13.55,5.97,1.5,1.82,2019-11-26,0.01819946614899296
447,USB,55.07,55.71,56.22 x 800,56.27 x 2900,55.61 - 56.33,43.14 - 57.81,4772.0,4458295.0,89.12899999999999,1.23,12.91,4.35,1.68,3.05,2019-06-27,0.03050662792809152
448,UDR,49.8,49.74,50.03 x 800,50.04 x 800,49.57 - 50.20,38.14 - 50.20,1591.0,1681956.0,14.811,0.49,87.73,0.57,1.37,2.75,2019-07-09,0.027510040160642575
452,UNP,161.5,162.2,167.26 x 900,167.31 x 900,161.75 - 167.40,128.08 - 180.54,3054.0,3316484.0,114.435,1.19,19.69,8.49,3.88,2.4,2019-08-29,0.024024767801857583
454,UNH,245.34,245.02,243.68 x 1000,245.00 x 800,242.15 - 245.60,208.07 - 287.94,2932.0,2158007.0,232.743,0.7,17.74,13.75,4.32,1.76,2019-09-13,0.01760821716801174
455,UPS,117.35,117.7,119.25 x 800,120.75 x 800,117.60 - 119.25,89.89 - 123.63,3155.0,3325639.0,100.88,1.44,21.63,5.48,3.84,3.27,2019-08-16,0.03272262462718364
457,UTX,136.8,138.17,138.79 x 1300,138.88 x 800,137.74 - 139.00,100.48 - 144.40,3641.0,3777551.0,118.226,1.31,22.54,6.14,2.94,2.15,2019-11-14,0.021491228070175436
459,UNM,28.27,28.66,28.92 x 800,28.93 x 800,28.60 - 28.98,24.71 - 38.84,1170.0,1008682.0,6.075,1.71,11.83,2.44,1.14,4.03,2019-10-25,0.040325433321542266
460,VFC,92.47,93.13,93.50 x 1000,93.31 x 1000,92.53 - 93.61,63.26 - 93.61,2961.0,2642268.0,37.576,1.44,32.64,2.86,1.72,1.86,2019-09-09,0.01860062723045312
461,VLO,91.06,92.02,93.19 x 1100,93.30 x 900,91.59 - 93.50,68.81 - 94.72,3190.0,3162228.0,39.038000000000004,1.74,15.31,6.09,3.6,3.95,2019-08-05,0.03953437294091808
463,VTR,72.86,72.57,72.68 x 800,72.69 x 900,71.97 - 72.91,54.38 - 75.40,1513.0,1779545.0,27.429000000000002,0.19,52.22,1.39,3.17,4.35,2019-06-28,0.04350809772165797
466,VZ,61.05,61.01,60.74 x 1800,60.97 x 1100,57.92 - 61.23,52.28 - 61.58,9003.0,9669920.0,253.90900000000002,0.47,15.87,3.83,2.46,4.03,2019-10-09,0.040294840294840296
468,VIAB,22.05,22.16,21.87 x 1200,21.89 x 1800,21.81 - 22.25,21.75 - 33.66,5278.0,5582103.0,8.743,1.05,5.4,4.05,0.8,3.63,2019-09-13,0.036281179138321996
469,V,175.71,176.0,176.50 x 800,176.75 x 1000,174.61 - 176.73,121.60 - 187.05,4566.0,4261550.0,390.32099999999997,0.81,33.88,5.21,1.0,0.57,2019-08-15,0.005691195720220818
470,VNO,62.42,62.48,63.22 x 1100,63.23 x 1100,62.45 - 63.39,58.60 - 72.50,718076.0,718303450.0,12.050999999999998,0.89,4.22,15.02,2.64,4.23,2019-08-02,0.04229413649471323
472,WMT,119.14,119.3,119.76 x 1000,119.80 x 1000,118.82 - 119.83,85.78 - 120.71,2672.0,2708339.0,338.585,0.65,27.08,4.42,2.12,1.78,2019-12-05,0.017794191707235188
473,WBA,55.3,55.15,54.42 x 900,54.62 x 1200,54.28 - 55.50,49.03 - 86.31,5201.0,5543907.0,48.739,0.83,10.68,5.11,1.83,3.31,2019-08-19,0.03309222423146474
474,WM,117.05,117.54,117.20 x 1100,117.22 x 800,116.11 - 117.69,83.22 - 121.77,1883.0,1789415.0,50.07899999999999,0.59,28.64,4.09,2.05,1.75,2019-09-05,0.017513882956001706
476,WEC,92.96,93.23,93.09 x 900,100.00 x 800,92.40 - 93.46,66.46 - 98.19,731566.0,731803476.0,29.44,0.14,27.03,3.45,2.36,2.54,2019-08-13,0.025387263339070567
477,WFC,49.97,50.28,50.15 x 3200,50.50 x 4000,50.17 - 50.50,43.02 - 55.04,19371.0,19223168.0,216.984,1.19,10.86,4.65,2.04,4.08,2019-08-08,0.04082449469681809
480,WU,24.03,24.14,24.32 x 1200,24.33 x 900,24.04 - 24.37,16.42 - 24.37,3657.0,3622807.0,10.360999999999999,0.65,8.89,2.74,0.8,3.33,2019-09-13,0.033291718684977115
481,WRK,36.7,36.99,37.07 x 1400,37.15 x 800,36.94 - 37.54,31.94 - 48.55,1350.0,1299931.0,9.684,1.63,11.54,3.22,1.82,4.96,2019-08-08,0.04959128065395095
484,WMB,22.91,22.96,22.91 x 1800,22.96 x 4000,22.85 - 23.07,20.36 - 29.55,10951.0,10249642.0,28.06,1.43,523.64,0.04,1.52,6.63,2019-09-12,0.0663465735486687
487,WYNN,113.52,114.25,116.92 x 900,117.46 x 1100,114.19 - 117.03,90.06 - 151.50,1175.0,1109020.0,12.519,1.81,15.39,7.6,4.0,3.52,2019-08-15,0.035236081747709654
488,XEL,64.01,64.16,64.02 x 1400,64.99 x 1000,63.67 - 64.31,47.44 - 66.05,1461.0,1395875.0,33.891999999999996,0.19,26.27,2.45,1.62,2.53,2019-09-12,0.025308545539759413
489,XRX,29.8,29.98,29.95 x 900,29.96 x 1300,29.90 - 30.32,18.58 - 36.58,1119.0,1999793.0,6.797999999999999,2.07,13.59,2.2,1.0,3.47,2019-09-27,0.03355704697986577
490,XLNX,94.34,95.16,95.00 x 1400,95.15 x 800,94.37 - 95.49,68.76 - 141.60,2015.0,2389512.0,24.013,1.48,25.9,3.67,1.48,1.59,2019-08-06,0.015687937248251006
493,YUM,112.3,112.87,112.50 x 800,112.53 x 800,111.31 - 113.21,84.53 - 119.72,1205.0,1514243.0,34.772,0.4,26.72,4.2,1.68,1.5,2019-08-16,0.01495992876224399
495,ZION,44.72,45.19,45.50 x 4000,46.64 x 800,45.00 - 45.68,38.08 - 51.81,2423.0,2354398.0,8.207,1.53,10.99,4.15,1.36,3.04,2019-08-14,0.03041144901610018
496,ZTS,127.96,128.23,125.96 x 900,126.61 x 800,125.85 - 128.50,78.90 - 130.20,1575.0,1933937.0,60.223,0.61,44.68,2.83,0.66,0.51,2019-07-18,0.005157861831822445
